"address","categories/0","categories/1","categories/2","categories/3","categories/4","categories/5","categories/6","categoryName","cid","city","countryCode","fid","hotelStars","imageUrl","isAdvertisement","location/lat","location/lng","neighborhood","permanentlyClosed","placeId","postalCode","price","rank","reviewsCount","searchPageUrl","searchString","state","street","temporarilyClosed","title","totalScore","url"
"Mäe 46a, 51008 Tartu, Estonia","Pizza restaurant",,,,,,,"Pizza restaurant","1144737921256457505","Tartu","EE","0x46eb372d87896199:0xfe2ed1305690521",,"http://t2.gstatic.com/images?q=tbn:ANd9GcQhByV2tiyA51abT688QmPyctrBIySkkYW_5xT-rO1Ib6b-33lt","false","58.3890643","26.7327321",,"false","ChIJmWGJhy0360YRIQVpBRPt4g8","51008",,"4","2","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Mäe 46a","false","PizzaMinisteerium OÜ","5","https://www.google.com/maps/search/?api=1&query=PizzaMinisteerium%20O%C3%9C&query_place_id=ChIJmWGJhy0360YRIQVpBRPt4g8"
"Lutsu tn 3-5, 51006 Tartu, Estonia","Corporate campus","Cafeteria","Function room facility","Live music venue","Restaurant",,,"Corporate campus","9518946359850654147","Tartu","EE","0x46eb36e6a48727a7:0x841a1747dee559c3",,"https://lh5.googleusercontent.com/p/AF1QipPXgAdJgfEoW_B6TPfJoAdY9D21re7275gakrqR=w408-h240-k-no-pi-20-ya328.3178-ro0-fo100","false","58.3821714","26.7185933",,"false","ChIJpyeHpOY260YRw1nl3kcXGoQ","51006",,"5","24","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Lutsu tn 3-5","false","Antoniuse Õu","4.7","https://www.google.com/maps/search/?api=1&query=Antoniuse%20%C3%95u&query_place_id=ChIJpyeHpOY260YRw1nl3kcXGoQ"
"Magasini tn 5, 51005 Tartu, Estonia","Hamburger restaurant",,,,,,,"Hamburger restaurant","6689446113486413288","Tartu","EE","0x46eb37002528fd01:0x5cd5afcc4a799de8",,"http://t0.gstatic.com/images?q=tbn:ANd9GcRW5QsExXcLt9Tg0WF2HYvzQnMYEaLUl76wb0I_nlI0oER-C8t5","false","58.3834176","26.7219381",,"false","ChIJAf0oJQA360YR6J15Ssyv1Vw","51005","€10–20","8","11","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Magasini tn 5","false","Äpu Burger","4.8","https://www.google.com/maps/search/?api=1&query=%C3%84pu%20Burger&query_place_id=ChIJAf0oJQA360YR6J15Ssyv1Vw"
"Rüütli, 51007 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","785202950989138435","Tartu","EE","0x46eb373f87de3fef:0xae599ec7a4bca03",,"https://lh5.googleusercontent.com/p/AF1QipMcXbM2HkrJTJon0de1N5xKFeE1ZORZxqUiCzWF=w408-h544-k-no","false","58.3804687","26.7220803",,"false","ChIJ7z_ehz8360YRA8pLeuyZ5Qo",,"€10–20","11","119","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Rüütli","false","Eesti Pubi Ruuni","2.9","https://www.google.com/maps/search/?api=1&query=Eesti%20Pubi%20Ruuni&query_place_id=ChIJ7z_ehz8360YRA8pLeuyZ5Qo"
"Rüütli 5, 51007 Tartu, Estonia","Bulgarian restaurant",,,,,,,"Bulgarian restaurant","6667813530257813860","Tartu","EE","0x46eb36e72c08153f:0x5c88d514038f7164",,"https://lh5.googleusercontent.com/p/AF1QipNp8yK0qwVR9n9WBHRC33uu14oUK3hdL_9QsSXh=w408-h306-k-no","false","58.3806714","26.7223156",,"false","ChIJPxUILOc260YRZHGPAxTViFw","51007","€10–20","13","257","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Rüütli 5","false","Restaurant Balkan","4.1","https://www.google.com/maps/search/?api=1&query=Restaurant%20Balkan&query_place_id=ChIJPxUILOc260YRZHGPAxTViFw"
"Raatuse 23, 50603 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","13076537946111006202","Tartu","EE","0x46eb373c86cd4bf7:0xb57931fac1dcd5fa",,"https://lh5.googleusercontent.com/p/AF1QipPvxsaHzfJKTpSWWV3cppj83O67Ch6qpyQVdFQ7=w408-h544-k-no","false","58.3821101","26.7315307",,"false","ChIJ90vNhjw360YR-tXcwfoxebU","50603","€10–20","14","60","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Raatuse 23","false","TAIKO SUSHI","4.6","https://www.google.com/maps/search/?api=1&query=TAIKO%20SUSHI&query_place_id=ChIJ90vNhjw360YR-tXcwfoxebU"
"Narva mnt 113, 51008 Tartu, Estonia","Pizza restaurant","Fast food restaurant",,,,,,"Pizza restaurant","5882316631699990384","Tartu","EE","0x46eb36e8e6ff49b9:0x51a22fcf88d9a770",,"https://lh5.googleusercontent.com/p/AF1QipPRirHj0YP3VlH48uqgtTxnTO5LEjgL6RtElYHr=w408-h306-k-no","false","58.3880978","26.7276425",,"false","ChIJuUn_5ug260YRcKfZiM8volE","51008","€1–10","16","321","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Narva mnt 113","false","Kebab Pizza OÜ","4.3","https://www.google.com/maps/search/?api=1&query=Kebab%20Pizza%20O%C3%9C&query_place_id=ChIJuUn_5ug260YRcKfZiM8volE"
"Vabaduse pst 1c, 51004 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","5233662432366404677","Tartu","EE","0x46eb371e3ecc30cb:0x48a1b440cb81a445",,"https://lh5.googleusercontent.com/p/AF1QipPOt7aaADjc0AUqtau8qcQd0nhKxuLPrEXEKUPB=w408-h306-k-no","false","58.379486","26.7274569",,"false","ChIJyzDMPh4360YRRaSBy0C0oUg","51004",,"18","168","https://www.google.com/maps/search/restaurant/@58.39488568369137,26.73682902102134,17z?hl=en","restaurant",,"Vabaduse pst 1c","false","TOKO resto Tartus","4.3","https://www.google.com/maps/search/?api=1&query=TOKO%20resto%20Tartus&query_place_id=ChIJyzDMPh4360YRRaSBy0C0oUg"
"Turu 2, 51004 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","16288950989995691296","Tartu","EE","0x46eb3767f50dd445:0xe20dfa9f7270cd20",,"https://lh5.googleusercontent.com/p/AF1QipOvduR-vp9d9TcnNk4eYLM1TqbJWeZeKJPL7pU=w408-h544-k-no","false","58.3780483","26.7306581",,"false","ChIJRdQN9Wc360YRIM1wcp_6DeI","51004","€10–20","2","31","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.753979705106676,17z?hl=en","restaurant",,"Turu 2","false","Olaf grill resto","4.6","https://www.google.com/maps/search/?api=1&query=Olaf%20grill%20resto&query_place_id=ChIJRdQN9Wc360YRIM1wcp_6DeI"
"Gildi 7, 51007 Tartu, Estonia","Restaurant","Georgian restaurant",,,,,,"Restaurant","2910150301879727488","Tartu","EE","0x46eb37fc22ab2f45:0x2862ee47ea897580",,"https://lh5.googleusercontent.com/p/AF1QipNKcLKs4mQcjvoxpmmGHV6fbwKnl2Wa2FYzX4bv=w408-h306-k-no","false","58.3816154","26.7221782",,"false","ChIJRS-rIvw360YRgHWJ6kfuYig","51007","€10–20","12","289","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.753979705106676,17z?hl=en","restaurant",,"Gildi 7","false","The Grill","4.3","https://www.google.com/maps/search/?api=1&query=The%20Grill&query_place_id=ChIJRS-rIvw360YRgHWJ6kfuYig"
"Hector design hotel, Riia tn 26, 50410 Tartu, Estonia","Persian restaurant",,,,,,,"Persian restaurant","3513562294233918063","Tartu","EE","0x46eb378efb406997:0x30c2ae4a7c04ea6f",,"https://lh5.googleusercontent.com/p/AF1QipPka3dzqv290lkZZvyqmKUykplrHiEVrHNM_LkS=w408-h544-k-no","false","58.3703205","26.7151286",,"false","ChIJl2lA-44360YRb-oEfEquwjA","50410","€10–20","13","27","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.753979705106676,17z?hl=en","restaurant",,"Hector design hotel, Riia tn 26","false","Polobox","4.9","https://www.google.com/maps/search/?api=1&query=Polobox&query_place_id=ChIJl2lA-44360YRb-oEfEquwjA"
"Riia tn 15b, 51003 Tartu, Estonia","Armenian restaurant","Cafe","Family restaurant","Georgian restaurant","Restaurant",,,"Armenian restaurant","4806559647698870736","Tartu","EE","0x46eb37202257fd81:0x42b4548888d161d0",,"https://lh5.googleusercontent.com/p/AF1QipPSPmoENFlGh9yjkAKvXukFwsYNwOf4Cv6Zxlhp=w408-h544-k-no","false","58.3731206","26.7199654",,"false","ChIJgf1XIiA360YR0GHRiIhUtEI","51003","€10–20","14","405","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.753979705106676,17z?hl=en","restaurant",,"Riia tn 15b","false","Smile Restoran","4.6","https://www.google.com/maps/search/?api=1&query=Smile%20Restoran&query_place_id=ChIJgf1XIiA360YR0GHRiIhUtEI"
"Riia tn 4, 51004 Tartu, Estonia","Coffee shop","Breakfast restaurant","Cafe",,,,,"Coffee shop","5494576235769899526","Tartu","EE","0x46eb36de503ecddb:0x4c40a7f9945e2a06",,"https://lh5.googleusercontent.com/p/AF1QipMhre3k3hvOqulkj0Pvxjjr9NzyELN1lGX01i7e=w426-h240-k-no","false","58.3768207","26.7274521",,"false","ChIJ280-UN4260YRBipelPmnQEw","51004","€10–20","16","742","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.753979705106676,17z?hl=en","restaurant",,"Riia tn 4","false","Reval Café Riia mnt","4.5","https://www.google.com/maps/search/?api=1&query=Reval%20Caf%C3%A9%20Riia%20mnt&query_place_id=ChIJ280-UN4260YRBipelPmnQEw"
"Estonia Rüütli 8, 51005 Tartu, Estonia","Cafe","Breakfast restaurant",,,,,,"Cafe","8204048505461107331","Tartu","EE","0x46eb36e6d7a0893b:0x71daa2a618156a83",,"https://lh5.googleusercontent.com/p/AF1QipNpnnK5lnsZynzeoqMDrJW72gSR8t3jO-xmuBuN=w408-h544-k-no","false","58.3811198","26.7219217",,"false","ChIJO4mg1-Y260YRg2oVGKai2nE","51005","€1–10","18","266","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.753979705106676,17z?hl=en","restaurant",,"Estonia Rüütli 8","false","Kohvipaus Tartu","4.6","https://www.google.com/maps/search/?api=1&query=Kohvipaus%20Tartu&query_place_id=ChIJO4mg1-Y260YRg2oVGKai2nE"
"Riia tn 2, 51004 Tartu, Estonia","Fast food restaurant","Health food restaurant","Poke bar",,,,,"Fast food restaurant","14325997336698179907","Tartu","EE","0x46eb376e15c7e827:0xc6d02aace3165143",,"https://lh5.googleusercontent.com/p/AF1QipNl6SxCrwtm1yQhynyVtH5OrwpfNe9q3CNajKhr=w426-h240-k-no","false","58.3770875","26.7294177",,"false","ChIJJ-jHFW4360YRQ1EW46wq0MY","51004","€10–20","19","38","https://www.google.com/maps/search/restaurant/@58.35887664601779,26.753979705106676,17z?hl=en","restaurant",,"Riia tn 2","false","Poké Bowl Tartu Kvartal","4.5","https://www.google.com/maps/search/?api=1&query=Pok%C3%A9%20Bowl%20Tartu%20Kvartal&query_place_id=ChIJJ-jHFW4360YRQ1EW46wq0MY"
"50703 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","11995184390794685498","Tartu","EE","0x46eb36cfd1298417:0xa67774a674a0ac3a",,"https://lh5.googleusercontent.com/p/AF1QipPCByeultj8IsgrEQuRQ9e3jCdmAcDZDFfbSQZj=w408-h307-k-no","false","58.3798359","26.7538954",,"false","ChIJF4Qp0c8260YROqygdKZ0d6Y",,,"21","15","https://www.google.com/maps/search/restaurant/@58.38138229456378,26.753979705106676,17z?hl=en","restaurant",,,"false","Sangari Söökla","4.5","https://www.google.com/maps/search/?api=1&query=Sangari%20S%C3%B6%C3%B6kla&query_place_id=ChIJF4Qp0c8260YROqygdKZ0d6Y"
"Jaama 74, 50605 Tartu, Estonia","Kebab shop",,,,,,,"Kebab shop","16953402213787837031","Tartu","EE","0x46eb379287d0c74f:0xeb46957d8f252267",,"https://lh5.googleusercontent.com/p/AF1QipNbkmjbc5xALmu_Ts5tu8Hzq3yReHN-ajkaPIHm=w408-h306-k-no","false","58.3816149","26.7515457",,"false","ChIJT8fQh5I360YRZyIlj32VRus","50605",,"22","113","https://www.google.com/maps/search/restaurant/@58.38138229456378,26.753979705106676,17z?hl=en","restaurant",,"Jaama 74","false","HAS KEBAB","4.8","https://www.google.com/maps/search/?api=1&query=HAS%20KEBAB&query_place_id=ChIJT8fQh5I360YRZyIlj32VRus"
"Võru 47a, 50111 Tartu, Estonia","Fast food restaurant",,,,,,,"Fast food restaurant","13349577709684960156","Tartu","EE","0x46eb374fb964ec67:0xb9433a32a73eab9c",,"http://t3.gstatic.com/images?q=tbn:ANd9GcSZ5HqVe30FzAF5pGnDFJx0tU_gW82Z_NJ0qP5-ZWDiWWGC7Pxn","false","58.3680389","26.7210445",,"false","ChIJZ-xkuU8360YRnKs-pzI6Q7k","50111","€1–10","16","77","https://www.google.com/maps/search/places%20to%20eat/@58.35887664601779,26.753979705106676,17z?hl=en","places to eat",,"Võru 47a","false","Fusion Kebab","4.3","https://www.google.com/maps/search/?api=1&query=Fusion%20Kebab&query_place_id=ChIJZ-xkuU8360YRnKs-pzI6Q7k"
"Jaama 68a, 50604 Tartu, Estonia","Fast food restaurant",,,,,,,"Fast food restaurant","6611931786638797248","Tartu","EE","0x46eb36c4dd8d579f:0x5bc24cedadb829c0",,"https://lh5.googleusercontent.com/p/AF1QipOtgh547kDjj-RhvoOJs9epQdtQVx2qIZMAj4ib=w408-h544-k-no","false","58.3827629","26.7464008",,"false","ChIJn1eN3cQ260YRwCm4re1Mwls","50604","€1–10","2","792","https://www.google.com/maps/search/places%20to%20eat/@58.38138229456378,26.753979705106676,17z?hl=en","places to eat",,"Jaama 68a","false","Kõverkiosk","4.2","https://www.google.com/maps/search/?api=1&query=K%C3%B5verkiosk&query_place_id=ChIJn1eN3cQ260YRwCm4re1Mwls"
"Anne tn 38, 50601 Tartu, Estonia","Fast food restaurant",,,,,,,"Fast food restaurant","15246973003537834767","Tartu","EE","0x46eb36d0415dd27f:0xd398212a2fd7e30f",,"https://lh5.googleusercontent.com/p/AF1QipOAr1tkZSli9JQU6DPcw7QhEgNyf0aH1aooUtN5=w408-h269-k-no","false","58.3782264","26.7509607",,"false","ChIJf9JdQdA260YRD-PXLyohmNM","50601","€1–10","9","1041","https://www.google.com/maps/search/places%20to%20eat/@58.38138229456378,26.753979705106676,17z?hl=en","places to eat",,"Anne tn 38","false","Hesburger Anne","3.8","https://www.google.com/maps/search/?api=1&query=Hesburger%20Anne&query_place_id=ChIJf9JdQdA260YRD-PXLyohmNM"
"Turu 2, 51013 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","13021452273562381956","Tartu","EE","0x46eb36de88ded273:0xb4b57dda29636e84",,"https://lh5.googleusercontent.com/p/AF1QipO0Flz6jojRAePNqsmVyu_EtU9_PEU4HeXLNCN7=w408-h306-k-no","false","58.3776685","26.7302725",,"false","ChIJc9LeiN4260YRhG5jKdp9tbQ","51013","€20–30","13","572","https://www.google.com/maps/search/places%20to%20eat/@58.38138229456378,26.753979705106676,17z?hl=en","places to eat",,"Turu 2","false","BabyBack Ribs & BBQ, Tasku","4.2","https://www.google.com/maps/search/?api=1&query=BabyBack%20Ribs%20%26%20BBQ%2C%20Tasku&query_place_id=ChIJc9LeiN4260YRhG5jKdp9tbQ"
"Turu 2, 51004 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","8912866817209957358","Tartu","EE","0x46eb36de887a01ab:0x7bb0dd25da2a7bee",,"http://t2.gstatic.com/images?q=tbn:ANd9GcSZVvAR0S57dei3CMrQ49rCxF6WIVqEi9hKaGHfQqoq-yMoQzm5","false","58.3778461","26.7301627",,"false","ChIJqwF6iN4260YR7nsq2iXdsHs","51004","€10–20","14","636","https://www.google.com/maps/search/places%20to%20eat/@58.38138229456378,26.753979705106676,17z?hl=en","places to eat",,"Turu 2","false","Da Vinci Pasta & Pizza","4.5","https://www.google.com/maps/search/?api=1&query=Da%20Vinci%20Pasta%20%26%20Pizza&query_place_id=ChIJqwF6iN4260YR7nsq2iXdsHs"
"Raekoja plats 6, 51007 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","9754427856465301073","Tartu","EE","0x46eb36e72a5445ad:0x875eb0744bca0e51",,"https://lh5.googleusercontent.com/p/AF1QipOruH8QFzBrn-X2MlJwRNIa9EMX5vpsCmgPvbCW=w408-h306-k-no","false","58.3805293","26.7220565",,"false","ChIJrUVUKuc260YRUQ7KS3SwXoc","51007","€10–20","15","488","https://www.google.com/maps/search/places%20to%20eat/@58.38138229456378,26.753979705106676,17z?hl=en","places to eat",,"Raekoja plats 6","false","Ruunipizza ja Pannkoogikohvik","3.4","https://www.google.com/maps/search/?api=1&query=Ruunipizza%20ja%20Pannkoogikohvik&query_place_id=ChIJrUVUKuc260YRUQ7KS3SwXoc"
"Riia tn 2, 51004 Tartu, Estonia","Restaurant","Italian restaurant",,,,,,"Restaurant","7346922541354951038","Tartu","EE","0x46eb36de5a157915:0x65f583202dc5a17e",,"https://lh5.googleusercontent.com/p/AF1QipO4R68hMcS-hVJ6Qork8W8j_83e9ZeBZFu-WHlQ=w408-h306-k-no","false","58.3766351","26.7285384",,"false","ChIJFXkVWt4260YRfqHFLSCD9WU","51004","€10–20","17","2098","https://www.google.com/maps/search/places%20to%20eat/@58.38138229456378,26.753979705106676,17z?hl=en","places to eat",,"Riia tn 2","false","Vapiano Tartu","4.3","https://www.google.com/maps/search/?api=1&query=Vapiano%20Tartu&query_place_id=ChIJFXkVWt4260YRfqHFLSCD9WU"
"Vabaduse pst 3, 51004 Tartu, Estonia","Fast food restaurant",,,,,,,"Fast food restaurant","17058407198919150907","Tartu","EE","0x46eb36e74694268b:0xecbba2f7d58acd3b",,"https://lh5.googleusercontent.com/p/AF1QipPI3_9-flt6Bu2ZdH3JOqu5Yc514DVoV5N_0obs=w408-h269-k-no","false","58.3808022","26.7251835",,"false","ChIJiyaURuc260YRO82K1feiu-w","51004","€1–10","18","793","https://www.google.com/maps/search/places%20to%20eat/@58.38138229456378,26.753979705106676,17z?hl=en","places to eat",,"Vabaduse pst 3","false","Hesburger Raekoja plats","3.9","https://www.google.com/maps/search/?api=1&query=Hesburger%20Raekoja%20plats&query_place_id=ChIJiyaURuc260YRO82K1feiu-w"
"Kastani tn 42, 50410 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","9568923681149744278","Tartu","EE","0x46eb371f5850c37b:0x84cba563c1c0f496",,"https://lh5.googleusercontent.com/p/AF1QipN286rhqNJzC9iXiRqrwZoYIAjG0GPyl_6x3aCG=w426-h240-k-no","false","58.3709072","26.7158609",,"false","ChIJe8NQWB8360YRlvTAwWOly4Q","50410","€10–20","1","641","https://www.google.com/maps/search/places%20to%20eat/@58.36337777572699,26.702527652850666,17z?hl=en","places to eat",,"Kastani tn 42","false","Trikster Tihane","4.4","https://www.google.com/maps/search/?api=1&query=Trikster%20Tihane&query_place_id=ChIJe8NQWB8360YRlvTAwWOly4Q"
"Kastani tn 42, 50410 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","9639794764849194389","Tartu","EE","0x46eb3721e2258a0f:0x85c76e43ca81a595",,"https://lh5.googleusercontent.com/p/AF1QipNunOQ_OghGTx5gMlzyVO1mT__qSesTXgnc4gJr=w408-h272-k-no","false","58.3705694","26.7162725",,"false","ChIJD4ol4iE360YRlaWBykNux4U","50410","€10–20","4","1999","https://www.google.com/maps/search/places%20to%20eat/@58.36337777572699,26.702527652850666,17z?hl=en","places to eat",,"Kastani tn 42","false","Restoran Aparaat","4.6","https://www.google.com/maps/search/?api=1&query=Restoran%20Aparaat&query_place_id=ChIJD4ol4iE360YRlaWBykNux4U"
"Võru 79, 50112 Tartu, Estonia","Fast food restaurant","Breakfast restaurant",,,,,,"Fast food restaurant","9010828436975171100","Tartu","EE","0x46eb373a19092adf:0x7d0ce4b8d5e4b61c",,"https://lh5.googleusercontent.com/p/AF1QipNFm4i-FoTCOilEABw0HWnRbWn9EoAnjdazrl9N=w408-h306-k-no","false","58.3565597","26.7208972",,"false","ChIJ3yoJGTo360YRHLbk1bjkDH0","50112","€1–10","10","1374","https://www.google.com/maps/search/places%20to%20eat/@58.36337777572699,26.702527652850666,17z?hl=en","places to eat",,"Võru 79","false","Fasters Eesti OÜ","4.1","https://www.google.com/maps/search/?api=1&query=Fasters%20Eesti%20O%C3%9C&query_place_id=ChIJ3yoJGTo360YRHLbk1bjkDH0"
"Aardla 27, 50110 Tartu, Estonia","Pizza restaurant",,,,,,,"Pizza restaurant","1355668337724146023","Tartu","EE","0x46eb370da6d83fe9:0x12d04d2ba74ac167",,"https://lh5.googleusercontent.com/p/AF1QipMLeVM2OtIWq-cR0acQdz8cWvuN1mvZVbX7uhg=w408-h544-k-no","false","58.3550856","26.7123669",,"false","ChIJ6T_Ypg0360YRZ8FKpytN0BI","50110","€1–10","12","25","https://www.google.com/maps/search/places%20to%20eat/@58.36337777572699,26.702527652850666,17z?hl=en","places to eat",,"Aardla 27","false","Aardla Pizzakeskus","4.6","https://www.google.com/maps/search/?api=1&query=Aardla%20Pizzakeskus&query_place_id=ChIJ6T_Ypg0360YRZ8FKpytN0BI"
"Vaksali tn 17a, 50410 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","1634215582476980923","Tartu","EE","0x46eb37ee358f140b:0x16ade669eff2d2bb",,"https://lh5.googleusercontent.com/p/AF1QipP34EhBkiPQKKgZ7nMCiuaWMNQeigT3opHs0kQd=w408-h544-k-no","false","58.3728471","26.7096023",,"false","ChIJCxSPNe4360YRu9Ly72nmrRY","50410","€1–10","17","73","https://www.google.com/maps/search/places%20to%20eat/@58.36337777572699,26.702527652850666,17z?hl=en","places to eat",,"Vaksali tn 17a","false","Kohvik Vaksali","4.7","https://www.google.com/maps/search/?api=1&query=Kohvik%20Vaksali&query_place_id=ChIJCxSPNe4360YRu9Ly72nmrRY"
"Võru 132a, 50111 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","3768721461303956309","Tartu","EE","0x46eb377a3c55bd1f:0x344d30339669d355",,"https://lh5.googleusercontent.com/p/AF1QipMBNyHlgmea8B7EdQr-dZmPXodOmviCZyFvpDXc=w408-h306-k-no","false","58.3644646","26.7217919",,"false","ChIJH71VPHo360YRVdNpljMwTTQ","50111","€10–20","18","232","https://www.google.com/maps/search/places%20to%20eat/@58.36337777572699,26.702527652850666,17z?hl=en","places to eat",,"Võru 132a","false","Yellow Chilli restoran","4.5","https://www.google.com/maps/search/?api=1&query=Yellow%20Chilli%20restoran&query_place_id=ChIJH71VPHo360YRVdNpljMwTTQ"
"Kastani tn 42, 50410 Tartu, Estonia","Vegan restaurant",,,,,,,"Vegan restaurant","10344168158775885606","Tartu","EE","0x46eb37b1db0365ff:0x8f8dde2278be3f26",,"https://lh5.googleusercontent.com/p/AF1QipMoDof8kTscfEkUcpvtt9RJbnijCmgFGrk-Nnl3=w408-h611-k-no","false","58.3706676","26.716103",,"false","ChIJ_2UD27E360YRJj--eCLejY8","50410","€10–20","19","128","https://www.google.com/maps/search/places%20to%20eat/@58.36337777572699,26.702527652850666,17z?hl=en","places to eat",,"Kastani tn 42","false","Veg Machine Tartu","4.8","https://www.google.com/maps/search/?api=1&query=Veg%20Machine%20Tartu&query_place_id=ChIJ_2UD27E360YRJj--eCLejY8"
"Ülikooli 20, 51007 Tartu, Estonia","Restaurant",,,,,,,"Restaurant","18436339622508041327","Tartu","EE","0x46eb36e6d29fe33f:0xffdb0934ee0d146f",,"https://lh5.googleusercontent.com/p/AF1QipOS8A8qB9IJLo0MqgVy6GWiS6xtpnsymJV0WN75=w408-h306-k-no","false","58.3816246","26.7199762",,"false","ChIJP-Of0uY260YRbxQN7jQJ2_8","51007","€1–10","5","339","https://www.google.com/maps/search/places%20to%20eat/@58.39038455398217,26.72825367897867,17z?hl=en","places to eat",,"Ülikooli 20","false","Ülikooli Kohvik / DRINKGELD","4.6","https://www.google.com/maps/search/?api=1&query=%C3%9Clikooli%20Kohvik%20%2F%20DRINKGELD&query_place_id=ChIJP-Of0uY260YRbxQN7jQJ2_8"
