placeId,title,totalScore,location/lat,location/lng,weekday_text,price_level,rating,takeout,types,user_ratings_total,wheelchair_accessible_entrance
ChIJHZHpH7Q360YRt0GWbor8cRg,KEBAB STOP TURU,4.7,58.3606491,26.7399101,Monday: 10:00 AM – 9:00 PM; Tuesday: 10:00 AM – 9:00 PM; Wednesday: 10:00 AM – 9:00 PM; Thursday: 10:00 AM – 9:00 PM; Friday: 10:00 AM – 9:00 PM; Saturday: 10:00 AM – 9:00 PM; Sunday: 10:00 AM – 9:00 PM,,4.7,True,restaurant; food; point_of_interest; establishment,109,False
ChIJbyPHz50360YRuz23xYFtZl8,WOK STOP,4.4,58.3605944,26.7395558,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 10:00 PM; Saturday: 11:00 AM – 10:00 PM; Sunday: 11:00 AM – 10:00 PM,,4.4,True,restaurant; food; point_of_interest; establishment,100,False
ChIJkbLFK-E260YRezU2exEyyAI,Cafe-restaurant Werner,4.6,58.3805181,26.7209742,Monday: 7:30 AM – 9:30 PM; Tuesday: 7:30 AM – 9:30 PM; Wednesday: 7:30 AM – 9:30 PM; Thursday: 7:30 AM – 9:30 PM; Friday: 7:30 AM – 10:30 PM; Saturday: 9:00 AM – 10:30 PM; Sunday: 9:00 AM – 9:00 PM,2,4.6,True,cafe; restaurant; food; point_of_interest; establishment,2252,False
ChIJ6eVJ-o8360YRTc7FI_GML-E,Restoran 2Pipart,4.5,58.3558197,26.7416476,Monday: 10:00 AM – 3:00 PM; Tuesday: 10:00 AM – 3:00 PM; Wednesday: 10:00 AM – 3:00 PM; Thursday: 10:00 AM – 3:00 PM; Friday: 10:00 AM – 3:00 PM; Saturday: Closed; Sunday: Closed,,4.5,True,restaurant; food; point_of_interest; establishment,37,True
ChIJXZMMAAI360YR1pbLGmj3ZQU,Pompei,4.6,58.380725,26.7222505,Monday: 12:00 – 10:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 – 10:00 PM,2,4.6,True,restaurant; food; point_of_interest; establishment,354,True
ChIJPZJd1OY260YRQ9KgfyJWvig,Chez Andre,4.6,58.380884,26.7214445,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 3:00 – 9:00 PM,3,4.6,False,restaurant; food; point_of_interest; establishment,692,False
ChIJh4vNqNU360YRrr2neM6t9zo,NOKK,4.8,58.3699873,26.7274364,Monday: Closed; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 10:00 PM; Friday: 12:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: Closed,,4.8,True,restaurant; bar; point_of_interest; food; establishment,165,False
ChIJsZTuxOA260YRopW4Ix6wP28,Restoran Hõlm,4.8,58.3795318,26.7217236,Monday: 6:00 – 11:00 PM; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 6:00 – 11:00 PM; Saturday: 5:00 – 11:00 PM; Sunday: Closed,,4.8,False,restaurant; point_of_interest; food; establishment,308,True
ChIJL7gKKQA360YRR33R5PwJHIA,Metsik Pizza,4.8,58.3698255,26.7276466,"Monday: Closed; Tuesday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM; Wednesday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM; Thursday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM; Friday: 11:30 AM – 2:30 PM, 5:00 – 10:00 PM; Saturday: 3:00 – 10:00 PM; Sunday: 12:00 – 4:00 PM",,4.8,True,bar; restaurant; food; point_of_interest; establishment,25,False
ChIJs3HbzgI360YRY8jX-_vANBQ,O'Learys Eeden,4.1,58.3729966,26.7503444,Monday: 12:00 – 7:00 PM; Tuesday: 12:00 – 9:00 PM; Wednesday: 12:00 – 9:00 PM; Thursday: 12:00 – 9:00 PM; Friday: 12:00 – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 12:00 – 7:00 PM,2,4.1,True,bar; restaurant; food; movie_theater; point_of_interest; establishment,752,True
ChIJUWPjG-E260YRJ19NR1vt4co,Gunpowder Cellar of Tartu,4.4,58.37921,26.719074,Monday: 12:00 – 10:00 PM; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 PM – 1:00 AM; Thursday: 12:00 PM – 1:00 AM; Friday: 12:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 – 10:00 PM,2,4.4,True,restaurant; bar; point_of_interest; food; establishment,3403,True
ChIJow4nBNg260YRUIeioTz2ZFA,Tartu Aleksander,4.5,58.3709004,26.7381912,Monday: Closed; Tuesday: Closed; Wednesday: Closed; Thursday: Closed; Friday: 8:00 PM – 3:00 AM; Saturday: 8:00 PM – 3:00 AM; Sunday: Closed,2,4.5,True,restaurant; food; point_of_interest; establishment,349,False
ChIJCfix2-Y260YRtiooPpE3LLk,Krempel,4.5,58.3815493,26.7216158,Monday: 9:00 AM – 4:00 PM; Tuesday: 9:00 AM – 4:00 PM; Wednesday: 9:00 AM – 4:00 PM; Thursday: 9:00 AM – 4:00 PM; Friday: 9:00 AM – 10:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: 9:00 AM – 4:00 PM,2,4.5,True,restaurant; food; point_of_interest; establishment,790,False
ChIJ_8PnV94260YRTtRLDEmH3pE,JOYCE,4.6,58.376482,26.7284541,Monday: 6:00 – 11:00 PM; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 5:00 PM – 12:00 AM; Saturday: 5:00 PM – 12:00 AM; Sunday: 6:00 – 11:00 PM,2,4.6,True,restaurant; bar; point_of_interest; food; establishment,757,True
ChIJ7wIjANg260YR3EK91hbWh2I,Hansa Tall & Hansa Hoov,4.6,58.3707297,26.7390966,Monday: 12:00 – 9:00 PM; Tuesday: 8:00 AM – 9:00 PM; Wednesday: 8:00 AM – 9:00 PM; Thursday: 8:00 AM – 9:00 PM; Friday: 8:00 AM – 11:00 PM; Saturday: 8:00 AM – 11:00 PM; Sunday: 8:00 AM – 9:00 PM,2,4.6,True,restaurant; bar; home_goods_store; spa; health; food; point_of_interest; store; establishment,1343,True
ChIJn0XuXDwx60YRBJWqHLFPZiQ,Green Chilli Restoran,4.2,58.3720186,26.7801767,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 10:00 PM; Saturday: 11:00 AM – 10:00 PM; Sunday: 11:00 AM – 10:00 PM,,4.2,True,restaurant; food; point_of_interest; establishment,10,True
ChIJSwr00eY260YREyCvvRqiND8,Antonius Restaurant,4.7,58.3811433,26.7208484,Monday: Closed; Tuesday: 6:00 – 11:00 PM; Wednesday: 6:00 – 11:00 PM; Thursday: 6:00 – 11:00 PM; Friday: 5:00 – 11:00 PM; Saturday: 5:00 – 11:00 PM; Sunday: Closed,,4.7,True,restaurant; point_of_interest; food; establishment,92,False
ChIJOyYIoSsx60YRS8-kpYis-nc,Sirius Kiirtoit ja Pitsakohvik,4.4,58.3688259,26.7660724,Monday: 8:00 AM – 11:00 PM; Tuesday: 8:00 AM – 11:00 PM; Wednesday: 8:00 AM – 11:00 PM; Thursday: 8:00 AM – 11:00 PM; Friday: 8:00 AM – 11:00 PM; Saturday: 9:00 AM – 11:00 PM; Sunday: 9:00 AM – 11:00 PM,,4.4,True,restaurant; point_of_interest; food; establishment,757,True
ChIJ2xwwl-A260YR_0QuceVFKwM,Vilde Ja Vine,4.6,58.3781198,26.723041,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 11:00 PM; Friday: 11:30 AM – 1:00 AM; Saturday: 1:00 PM – 1:00 AM; Sunday: Closed,2,4.6,True,restaurant; bar; food; point_of_interest; establishment,861,False
ChIJDWaQ99g260YR2lRGN-RWM_o,Pizza La Mimosa,4.2,58.3668109,26.7386166,Monday: 1:00 PM – 1:00 AM; Tuesday: 1:00 PM – 1:00 AM; Wednesday: 1:00 PM – 1:00 AM; Thursday: 1:00 PM – 1:00 AM; Friday: 2:00 PM – 2:00 AM; Saturday: 2:00 PM – 2:00 AM; Sunday: 1:00 PM – 1:00 AM,,4.2,True,restaurant; point_of_interest; food; establishment,59,False
ChIJA8CESOc260YRQyd-uTt6CC4,Taverna Pizzeria,4.4,58.3807977,26.7246551,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:30 AM – 11:00 PM; Sunday: 11:30 AM – 9:30 PM,2,4.4,True,restaurant; food; point_of_interest; establishment,1099,False
ChIJNx6fmZI360YR9nVxmdJ4q54,Pannkoogi Paradiis,,58.3733499,26.7507326,,,,True,restaurant; food; point_of_interest; establishment,,False
ChIJ9VgS4OY260YRU5vPVSpemSk,La Dolce Vita,4.6,58.3818407,26.7227316,Monday: 11:30 AM – 11:00 PM; Tuesday: 11:30 AM – 11:00 PM; Wednesday: 11:30 AM – 11:00 PM; Thursday: 11:30 AM – 11:00 PM; Friday: 11:30 AM – 12:00 AM; Saturday: 11:30 AM – 12:00 AM; Sunday: 12:00 – 11:00 PM,2,4.6,True,restaurant; cafe; point_of_interest; store; food; establishment,2932,False
ChIJOcpiouA260YRTDPvaaHtEyc,Ginger Grill Restaurant,4.3,58.3786155,26.7242132,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 12:00 – 10:00 PM,2,4.3,True,restaurant; food; point_of_interest; establishment,325,True
ChIJEYRX0uY260YRFKsfVxFH-x0,Restaurant München - Weihenstephaner Wirtshaus,4.5,58.3809562,26.7207659,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 – 9:00 PM,2,4.5,True,bar; restaurant; food; point_of_interest; establishment,1125,False
ChIJL4W5iUY360YRty4igoMlNCY,Kolm Tilli,4.5,58.3703859,26.7165481,Monday: 9:00 AM – 11:00 PM; Tuesday: 9:00 AM – 11:00 PM; Wednesday: 9:00 AM – 11:00 PM; Thursday: 9:00 AM – 11:00 PM; Friday: 9:00 AM – 1:00 AM; Saturday: 10:00 AM – 1:00 AM; Sunday: 10:00 AM – 10:00 PM,2,4.5,True,restaurant; food; point_of_interest; establishment,1807,True
ChIJPYq0w-Y260YR5vvCnXic_As,Crepp,4.6,58.381903,26.721284,Monday: 11:30 AM – 10:00 PM; Tuesday: 11:30 AM – 10:00 PM; Wednesday: 11:30 AM – 10:00 PM; Thursday: 11:30 AM – 10:00 PM; Friday: 11:30 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 11:00 AM – 8:00 PM,2,4.6,True,cafe; restaurant; food; point_of_interest; establishment,1057,False
ChIJe729z0E360YRIBxMFGEkv9s,Humal BISTRO,4.5,58.3767895,26.727443,Monday: 12:00 – 9:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 PM – 1:00 AM; Saturday: 12:00 PM – 1:00 AM; Sunday: 12:00 – 9:00 PM,2,4.5,True,restaurant; food; point_of_interest; establishment,302,True
ChIJl4VUiPs360YRsvTWSPcu2a4,Tartu Grill OÜ,4.1,58.3789112,26.7333821,Monday: 10:00 AM – 10:00 PM; Tuesday: 10:00 AM – 10:00 PM; Wednesday: 10:00 AM – 10:00 PM; Thursday: 10:00 AM – 10:00 PM; Friday: 10:00 AM – 12:00 AM; Saturday: 10:00 AM – 12:00 AM; Sunday: 10:00 AM – 10:00 PM,,4.1,True,restaurant; food; point_of_interest; establishment,147,True
ChIJIfzH2bM360YRTisRbVP1yFo,Indochina Restoran Tartu,4.4,58.3810938,26.7215003,Monday: 11:00 AM – 11:00 PM; Tuesday: 11:00 AM – 11:00 PM; Wednesday: 11:00 AM – 11:00 PM; Thursday: 11:00 AM – 11:00 PM; Friday: 11:00 AM – 11:00 PM; Saturday: 11:00 AM – 11:00 PM; Sunday: 12:00 – 10:00 PM,2,4.4,True,restaurant; food; point_of_interest; establishment,140,False
ChIJqaq6g3I360YRdNmmrrU6NCU,Restoran Fii,4.7,58.3570501,26.6784243,Monday: 12:00 – 10:00 PM; Tuesday: 12:00 – 10:00 PM; Wednesday: 12:00 – 10:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 5:00 – 11:00 PM; Sunday: Closed,3,4.7,True,restaurant; food; point_of_interest; establishment,361,True
ChIJ2xyWSS8360YRMiZcLH6PHMc,Shawarma house,5,58.3787003,26.7285813,,,5,True,meal_takeaway; restaurant; food; point_of_interest; establishment,2,False
ChIJ9V392r8260YRaQ3OeuV-Fe0,Eesti Rahva Muuseumi restoran Pööripäev,4.4,58.3953848,26.7445477,Monday: Closed; Tuesday: 10:00 AM – 6:00 PM; Wednesday: 10:00 AM – 6:00 PM; Thursday: 10:00 AM – 6:00 PM; Friday: 10:00 AM – 6:00 PM; Saturday: 10:00 AM – 6:00 PM; Sunday: 10:00 AM – 6:00 PM,,4.4,False,restaurant; food; point_of_interest; establishment,50,True
ChIJmWGJhy0360YRIQVpBRPt4g8,PizzaMinisteerium OÜ,5,58.3890643,26.7327321,Monday: 12:00 PM – 12:00 AM; Tuesday: 12:00 PM – 12:00 AM; Wednesday: 12:00 PM – 12:00 AM; Thursday: 12:00 PM – 12:00 AM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 PM – 12:00 AM,,5,True,restaurant; food; point_of_interest; establishment,3,False
ChIJpyeHpOY260YRw1nl3kcXGoQ,Antoniuse Õu,4.7,58.3821714,26.7185933,,,4.7,False,restaurant; food; point_of_interest; establishment,24,True
ChIJAf0oJQA360YR6J15Ssyv1Vw,Äpu Burger,4.8,58.3834176,26.7219381,Monday: 6:00 PM – 2:00 AM; Tuesday: 6:00 PM – 2:00 AM; Wednesday: 6:00 PM – 3:00 AM; Thursday: 6:00 PM – 2:00 AM; Friday: 6:00 PM – 2:00 AM; Saturday: 6:00 PM – 2:00 AM; Sunday: Closed,,4.8,False,restaurant; food; point_of_interest; establishment,11,False
ChIJ7z_ehz8360YRA8pLeuyZ5Qo,Eesti Pubi Ruuni,2.9,58.3804687,26.7220803,,,2.9,True,restaurant; food; point_of_interest; establishment,119,False
ChIJPxUILOc260YRZHGPAxTViFw,Restaurant Balkan,4.1,58.3806714,26.7223156,Monday: 12:00 PM – 12:00 AM; Tuesday: 12:00 PM – 12:00 AM; Wednesday: 12:00 PM – 12:00 AM; Thursday: 12:00 PM – 12:00 AM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 PM – 12:00 AM,2,4.1,True,restaurant; food; point_of_interest; establishment,258,False
ChIJ90vNhjw360YR-tXcwfoxebU,TAIKO SUSHI,4.6,58.3821101,26.7315307,Monday: 11:00 AM – 9:00 PM; Tuesday: 11:00 AM – 9:00 PM; Wednesday: 11:00 AM – 9:00 PM; Thursday: 11:00 AM – 9:00 PM; Friday: 11:00 AM – 9:00 PM; Saturday: 11:00 AM – 9:00 PM; Sunday: 11:00 AM – 6:00 PM,,4.6,True,restaurant; food; point_of_interest; establishment,61,False
ChIJuUn_5ug260YRcKfZiM8volE,Kebab Pizza OÜ,4.3,58.3880978,26.7276425,Monday: 11:30 AM – 9:00 PM; Tuesday: 11:30 AM – 9:00 PM; Wednesday: 11:30 AM – 9:00 PM; Thursday: 11:30 AM – 9:00 PM; Friday: 11:30 AM – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 12:00 – 8:00 PM,1,4.3,True,restaurant; food; point_of_interest; establishment,319,False
ChIJyzDMPh4360YRRaSBy0C0oUg,TOKO resto Tartus,4.3,58.379486,26.7274569,Monday: 12:00 – 11:00 PM; Tuesday: 12:00 – 11:00 PM; Wednesday: 12:00 – 11:00 PM; Thursday: 12:00 – 11:00 PM; Friday: 12:00 PM – 12:00 AM; Saturday: 12:00 PM – 12:00 AM; Sunday: 12:00 – 10:00 PM,,4.3,True,restaurant; food; point_of_interest; establishment,169,True
ChIJRdQN9Wc360YRIM1wcp_6DeI,Olaf grill resto,4.6,58.3780483,26.7306581,,,4.6,False,restaurant; food; point_of_interest; establishment,31,False
ChIJRS-rIvw360YRgHWJ6kfuYig,The Grill,4.3,58.3816154,26.7221782,Monday: 11:00 AM – 10:00 PM; Tuesday: 11:00 AM – 10:00 PM; Wednesday: 11:00 AM – 10:00 PM; Thursday: 11:00 AM – 10:00 PM; Friday: 12:00 – 11:00 PM; Saturday: 12:00 – 11:00 PM; Sunday: 12:00 – 9:00 PM,,4.3,True,restaurant; food; point_of_interest; establishment,293,False
ChIJl2lA-44360YRb-oEfEquwjA,Polobox,4.9,58.3703205,26.7151286,Monday: 11:30 AM – 9:30 PM; Tuesday: 11:30 AM – 9:30 PM; Wednesday: 11:30 AM – 9:30 PM; Thursday: 11:30 AM – 9:30 PM; Friday: 11:30 AM – 9:30 PM; Saturday: 11:30 AM – 9:30 PM; Sunday: 11:30 AM – 9:30 PM,,4.8,True,restaurant; food; point_of_interest; establishment,28,False
ChIJgf1XIiA360YR0GHRiIhUtEI,Smile Restoran,4.6,58.3731206,26.7199654,Monday: 10:00 AM – 9:00 PM; Tuesday: 10:00 AM – 9:00 PM; Wednesday: 10:00 AM – 9:00 PM; Thursday: 10:00 AM – 9:00 PM; Friday: 10:00 AM – 10:00 PM; Saturday: 12:00 – 10:00 PM; Sunday: 1:00 – 8:00 PM,1,4.6,True,cafe; restaurant; food; point_of_interest; establishment,409,False
ChIJ280-UN4260YRBipelPmnQEw,Reval Café Riia mnt,4.5,58.3768207,26.7274521,Monday: 7:30 AM – 8:00 PM; Tuesday: 7:30 AM – 8:00 PM; Wednesday: 7:30 AM – 8:00 PM; Thursday: 7:30 AM – 8:00 PM; Friday: 7:30 AM – 9:00 PM; Saturday: 8:00 AM – 9:00 PM; Sunday: 8:00 AM – 8:00 PM,2,4.5,True,cafe; restaurant; food; store; point_of_interest; establishment,742,True
ChIJO4mg1-Y260YRg2oVGKai2nE,Kohvipaus Tartu,4.6,58.3811198,26.7219217,Monday: 7:00 AM – 6:00 PM; Tuesday: 7:00 AM – 6:00 PM; Wednesday: 7:00 AM – 6:00 PM; Thursday: 7:00 AM – 6:00 PM; Friday: 7:00 AM – 6:00 PM; Saturday: 9:00 AM – 4:00 PM; Sunday: 9:00 AM – 4:00 PM,2,4.6,True,cafe; restaurant; food; point_of_interest; establishment,266,False
ChIJJ-jHFW4360YRQ1EW46wq0MY,Poké Bowl Tartu Kvartal,4.5,58.3770875,26.7294177,Monday: 10:00 AM – 9:00 PM; Tuesday: 10:00 AM – 9:00 PM; Wednesday: 10:00 AM – 9:00 PM; Thursday: 10:00 AM – 9:00 PM; Friday: 10:00 AM – 9:00 PM; Saturday: 10:00 AM – 9:00 PM; Sunday: 10:00 AM – 8:00 PM,,4.5,True,restaurant; food; point_of_interest; establishment,38,True
ChIJF4Qp0c8260YROqygdKZ0d6Y,Sangari Söökla,4.5,58.3798359,26.7538954,Monday: 9:30 AM – 4:30 PM; Tuesday: 9:30 AM – 4:30 PM; Wednesday: 9:30 AM – 4:30 PM; Thursday: 9:30 AM – 4:30 PM; Friday: 9:30 AM – 4:30 PM; Saturday: Closed; Sunday: Closed,,4.5,True,restaurant; food; point_of_interest; establishment,16,False
